TBPbp,THObp,TBPbt,THObt,TBPrt,THOrt
23.9,25.7,4.17,4.97,9.09,9.23
24.3,25.6,3.66,3.28,13.6,15.1
10.6,10.9,3.92,3.18,11.1,11.8
6.64,6.54,2.38,2.65,10.8,11.6
10.6,7.22,5.58,5.77,11.7,12.2
12.7,11.9,4.35,5.4,12.9,14.2
7.07,8.34,3.21,3.21,14.6,14.5
20.1,20.9,3.49,2.88,13.3,14.8
17.1,19,4.74,4.47,6.84,5.81
37.6,22.3,5.38,4.84,9.1,8.45
28.8,27.4,4.97,4.23,8.89,9.19
20.8,19.4,2.32,3.46,5.91,6.22
25.4,17.5,4.87,5.58,12.2,13.3
15.2,23.2,7.74,7.43,12.7,12.7
11.9,11.4,7.02,7.72,9.32,10
6.61,8.21,3.68,3.9,11.4,13.2
9.5,10.3,1.82,2.34,11.3,12.1
6.38,6.56,2.6,2.33,8.36,9.04
9.24,12,3.16,3.89,12,12.2
10.7,15.5,4.01,3.87,10.6,11.6
11.7,11.7,6.88,6.41,11.1,11.8
15.1,13,4.22,4.03,13.9,14.1
7.22,4.66,3.67,3.69,11.7,11.3
15.3,13.3,3.73,3.19,7.85,6.74
24.3,19.7,4.06,3.97,12.4,11.7
28.8,31.8,3.98,4.58,11.8,11
23.5,27.4,2.95,3.33,12.9,13
22.2,21.8,2.69,3.32,7.95,7.37
15.7,15.6,3.89,4.1,6.95,7.17
13.8,37.4,3.25,3.69,13.5,13.6
6.41,6.01,5.06,5.24,7.44,6.99
5.04,5.83,4.54,4.91,14.2,13.5
21.3,7.63,3.83,4.03,10.1,9.89
11,13,2.14,2.76,12.6,11.8
28.7,18,2.77,2.41,10.5,12.5
10.4,10.5,7.73,7.52,8.02,7.83
8.88,6.02,6.64,6.76,NA,NA
13.9,12.6,7.71,7.66,NA,NA
2.95,3.13,6.26,7.09,NA,NA
5.04,5.94,7.68,8.48,NA,NA
32.4,14.8,8.11,9.12,NA,NA
10.6,7.34,4.63,4.02,NA,NA
11.5,7.33,7.72,7.36,NA,NA
24.1,19.9,5.92,5.86,NA,NA
45,38.6,4.1,4.57,NA,NA
15.7,13.5,10,11.4,NA,NA
14.5,14.4,8.04,8.41,NA,NA
7.85,7.62,4.72,5.65,NA,NA
9.7,8.62,5.69,7.22,NA,NA
11.9,11.4,7.66,8.95,NA,NA
13.3,16.6,6.99,7.3,NA,NA
5.35,8.75,6.05,6.59,NA,NA
8.48,20,6.23,6.99,NA,NA
13.6,43.5,6.04,6.81,NA,NA
22.5,10.6,5.48,6.81,NA,NA
11.7,15,7.99,7.43,NA,NA
28.4,9.47,4.96,3.85,NA,NA
37.1,25,8.67,9.02,NA,NA
18.4,14.2,7.71,8.04,NA,NA
7.65,6.43,8.5,8.54,NA,NA
17.1,16.6,4.61,4.6,NA,NA
7.6,6.98,5.19,5.88,NA,NA
24.5,11.2,7.57,7.99,NA,NA
10.7,9.39,6.33,6.25,NA,NA
10.6,9.91,7.03,6.65,NA,NA
6.74,6.36,6.34,6.85,NA,NA
9.35,12.2,8.44,8.06,NA,NA
19.1,12.8,7.88,9.04,NA,NA
6.24,5.75,4.34,4.3,NA,NA
7.9,9.12,7.61,8.96,NA,NA
13.1,9.63,6.15,5.85,NA,NA
16.7,15.4,6.74,7.12,NA,NA
15.7,16.9,6.52,6.7,NA,NA
14.3,16.7,7.22,7.57,NA,NA
18.8,16.2,2.3,2.4,NA,NA
22.4,21.7,6.3,5.83,NA,NA
12,13.8,4.64,4.76,NA,NA
19,67.7,2.98,5.12,NA,NA
9.16,13.2,6.49,6.11,NA,NA
25,14.4,6.33,6.74,NA,NA
46.3,60,4.35,4.65,NA,NA
24.9,19.9,4.67,5.64,NA,NA
28.2,34.6,8.02,8.55,NA,NA
12.5,11,5.27,4.06,NA,NA
15.7,12.7,6.86,8.15,NA,NA
13,11.9,5.11,5.43,NA,NA
13.5,12.8,5.37,5.53,NA,NA
34.1,31.5,5.62,7.28,NA,NA
21.9,15.4,5.91,6.64,NA,NA
6.32,6.33,4.71,4.17,NA,NA
10.4,10.1,4.44,3.92,NA,NA
10.7,9.32,6.04,6.03,NA,NA
10.8,8.34,5.53,5.22,NA,NA
6.32,5.23,4.74,6.13,NA,NA
12.2,8.45,1.94,2.66,NA,NA
10.2,9.19,4.86,5.49,NA,NA
6.62,5.62,4.28,4.22,NA,NA
27.3,26.9,5.37,5.57,NA,NA
18.8,14.5,6.44,6.72,NA,NA
9.32,11.6,5.12,4.21,NA,NA
9.5,8.36,5.55,6.03,NA,NA
3.64,3.46,4.99,4.01,NA,NA
2.35,2.83,5.79,6.68,NA,NA
2.54,2.2,6.99,7.74,NA,NA
4.24,3.72,5.71,5.9,NA,NA
24.4,21,6.13,8,NA,NA
2.57,2.91,4.01,3.47,NA,NA
22.6,21.6,5.79,5.32,NA,NA
7.81,8.08,4.65,4.43,NA,NA
6.71,5.41,3.26,3.8,NA,NA
17,18.4,5.36,5.78,NA,NA
18.6,7.91,6.06,6.06,NA,NA
19.7,28.3,6.66,6.17,NA,NA
14.1,30.5,5.68,6.32,NA,NA
15.3,6.92,6.33,7.09,NA,NA
20.1,35.9,2.64,3.27,NA,NA
10.1,4.65,6.54,7.04,NA,NA
23.4,50.9,4.61,5.92,NA,NA
9.95,4.58,4.36,5.48,NA,NA
15.9,16.7,6.28,6.23,NA,NA
4.78,4.52,7.36,6.51,NA,NA
19.7,18.8,4.53,4.03,NA,NA
24.6,17.5,5.25,5.08,NA,NA
9.42,8.83,5.95,5.14,NA,NA
12.3,12.4,4.41,5.82,NA,NA
17.2,15.2,4.67,5.39,NA,NA
26,23.6,2.22,2.24,NA,NA
16.5,15.1,6.21,6.92,NA,NA
4.94,7.72,4.61,3.67,NA,NA
17.6,18.5,6.15,5.43,NA,NA
12.8,19.2,6.88,6.01,NA,NA
27.9,20,6.32,6.32,NA,NA
10,19.9,4.78,6.03,NA,NA
19.3,17.3,3.9,3.61,NA,NA
51.6,48.5,8.42,9.17,NA,NA
15.5,9.1,6.75,6.51,NA,NA
40.3,56.4,8.97,9.3,NA,NA
4.59,3.64,3.61,3.32,NA,NA
7.08,5.11,4.95,4.45,NA,NA
5.06,4.13,5.27,5.27,NA,NA
9.53,9.65,1.46,1.88,NA,NA
9.31,6.67,10.2,9.67,NA,NA
9.25,6.71,5.72,4.91,NA,NA
9.66,7.79,3.4,3.59,NA,NA
9.36,7.91,3.94,4.47,NA,NA
16.6,17.2,4.82,5.33,NA,NA
6.44,6.46,8.1,8.58,NA,NA
5.54,7.06,7.05,7.37,NA,NA
5.76,5.94,6.94,7.96,NA,NA
2.59,2.2,4.45,4.79,NA,NA
25.8,24.7,4.1,4.47,NA,NA
10.8,9.75,6.24,6.17,NA,NA
3.98,3.44,4.67,5.1,NA,NA
11.5,12.9,9.14,9.72,NA,NA
10.5,9.58,4.03,3.71,NA,NA
9.01,8.1,7.93,8.03,NA,NA
14.8,13.1,2.67,2.7,NA,NA
9.3,10.3,3.09,2.81,NA,NA
2.92,4.03,6.14,7.09,NA,NA
7.21,6.74,2,1.94,NA,NA
2.73,2.23,5.96,5.63,NA,NA
6.09,6.63,4.37,3.68,NA,NA
5.22,4.11,6.47,6.34,NA,NA
3.09,3.78,9.08,11.1,NA,NA
3.11,3.81,3.89,3.86,NA,NA
4.51,3.04,5.83,6.37,NA,NA
3.77,2.51,10.1,11.5,NA,NA
5.01,4.69,2.99,2.34,NA,NA
5.19,5.46,3.81,3.79,NA,NA
3.87,4.43,6.21,6.24,NA,NA
2.69,2.73,2.62,3.04,NA,NA
4.8,3.33,8.52,10.2,NA,NA
4.65,6.73,5.45,5.14,NA,NA
6.15,4.79,4.58,4.84,NA,NA
6.57,5.78,6.85,7.3,NA,NA
6,9.18,6.73,7.33,NA,NA
9.94,12.6,5.32,6.14,NA,NA
6.93,12.4,7.65,7.95,NA,NA
4.44,3.38,5.25,6.12,NA,NA
12.5,10.8,5.91,6.5,NA,NA
12.6,14.2,6.35,7.22,NA,NA
9.29,6.93,5.62,5.61,NA,NA
9.78,11.3,3.54,3.47,NA,NA
12.5,7.72,6.27,6.09,NA,NA
8.59,10.8,4.08,3.93,NA,NA
4.7,4.05,7.17,8.58,NA,NA
5.96,4.6,2.86,2.9,NA,NA
2.41,3.04,2.56,3.15,NA,NA
12.4,16.4,6.33,6.99,NA,NA
7.73,5.16,3.4,3.42,NA,NA
4.77,3.72,7.99,8.59,NA,NA
8.17,6.8,4.58,4.05,NA,NA
11.2,9.68,7.16,8.45,NA,NA
8.88,11.5,6.33,7.35,NA,NA
7.64,7.05,5.26,4.9,NA,NA
6.18,4.48,7.82,8.31,NA,NA
11.3,9.88,4.97,4.66,NA,NA
16.3,16.6,5.91,5.89,NA,NA
12.4,11.1,5.38,5.95,NA,NA
8.78,8.59,3.68,4.6,NA,NA
6.88,7.39,8,8.54,NA,NA
6.91,6.18,7.95,7.48,NA,NA
11.8,13.6,5.07,5.82,NA,NA
7.31,6,8.74,9.43,NA,NA
8.38,9.14,6.96,7.12,NA,NA
28.3,39.8,5.33,5.17,NA,NA
7.04,6.64,7.11,7.11,NA,NA
2.6,5.07,8.46,7.76,NA,NA
6.1,10.3,7.98,8.49,NA,NA
4.19,3.3,6.57,6.15,NA,NA
4.42,3.54,6.64,6.32,NA,NA
7.59,4.95,5.85,5.01,NA,NA
10.1,3.96,6.76,6.33,NA,NA
11.3,12.1,8.95,8.54,NA,NA
20.8,22,8.15,8.25,NA,NA
7.72,7.49,6.38,6.05,NA,NA
10.2,5.83,5.87,6.21,NA,NA
12.2,13.2,8.7,7.99,NA,NA
16.4,28.7,6.45,5.99,NA,NA
17.5,15.8,6.05,5.55,NA,NA
9.72,10.1,7.58,7.8,NA,NA
2.64,2.9,6.88,5.46,NA,NA
2.36,2.28,8.16,8.47,NA,NA
16.3,16.1,3.22,2.78,NA,NA
11.4,8.53,4.45,3.5,NA,NA
12.7,13.3,4.33,3.79,NA,NA
8.07,4.55,5.91,6.28,NA,NA
5.88,11.8,1.31,1.92,NA,NA
18.4,25.9,11,12.7,NA,NA
47.1,37.8,6.52,6.52,NA,NA
24.4,18.4,3.9,4.87,NA,NA
11.8,14.3,6.28,7.69,NA,NA
34.7,30.2,5.89,6.49,NA,NA
17.1,20,7.02,7.11,NA,NA
17.4,21.2,6,6.72,NA,NA
19.2,18.5,7.57,8.05,NA,NA
7.63,6.74,8.1,9.13,NA,NA
9.15,9.51,5.5,6.15,NA,NA
16.4,12.5,5.58,5.54,NA,NA
15.1,9.99,6.14,4.7,NA,NA
9.12,7.09,7.81,8.42,NA,NA
10.5,8.92,5.28,4.93,NA,NA
15.2,14,10.8,11.6,NA,NA
11,10.5,2.35,2.29,NA,NA
12,9.44,3.92,4.33,NA,NA
9.43,10.5,8.11,9.01,NA,NA
17.7,14.4,4.41,4,NA,NA
12.2,11.9,5.86,6.41,NA,NA
5.93,7.04,4.1,4.1,NA,NA
8.48,7.7,8.33,9.16,NA,NA
17.3,24.5,7.45,9.34,NA,NA
20.3,17.3,5.29,5.3,NA,NA
14.3,18,3.62,2.95,NA,NA
5.45,6.4,2.82,2.36,NA,NA
7.03,8.61,0.76,1.05,NA,NA
6.27,5.86,2.43,2.43,NA,NA
7.05,5.82,5.08,4.48,NA,NA
3.88,6.29,4.33,3.99,NA,NA
NA,NA,4.75,3.95,NA,NA
NA,NA,4.87,4.92,NA,NA
NA,NA,3.96,3.54,NA,NA
NA,NA,5.38,4.83,NA,NA
NA,NA,3.97,3.96,NA,NA
NA,NA,3.78,3.66,NA,NA
NA,NA,3.8,2.66,NA,NA
NA,NA,8.06,7.19,NA,NA
NA,NA,5.36,4.94,NA,NA
NA,NA,3.38,2.81,NA,NA
NA,NA,6.63,5.98,NA,NA
NA,NA,4.49,3.44,NA,NA
NA,NA,3.01,2.97,NA,NA
NA,NA,5.42,4.72,NA,NA
NA,NA,5.8,5.04,NA,NA
NA,NA,2.93,2.92,NA,NA
NA,NA,4.74,3.78,NA,NA
NA,NA,3.75,3.68,NA,NA
NA,NA,4.34,3.16,NA,NA
NA,NA,3.63,3.58,NA,NA
NA,NA,3.62,3.07,NA,NA
NA,NA,5.74,6.17,NA,NA
NA,NA,4.16,4.68,NA,NA
NA,NA,4.22,3.95,NA,NA
NA,NA,5.76,5.7,NA,NA
NA,NA,4.76,4.6,NA,NA
NA,NA,3.95,4.01,NA,NA
NA,NA,4.16,3.83,NA,NA
NA,NA,3.62,3.52,NA,NA
NA,NA,4.73,5.16,NA,NA
NA,NA,4.28,4.27,NA,NA
NA,NA,4.81,4.75,NA,NA
NA,NA,5.41,5.11,NA,NA
NA,NA,4.86,4.84,NA,NA
NA,NA,5.08,4.68,NA,NA
NA,NA,4.96,4.85,NA,NA
NA,NA,6.09,6.15,NA,NA
NA,NA,5.09,4.17,NA,NA
NA,NA,4.67,4.29,NA,NA
NA,NA,3.19,3.57,NA,NA
NA,NA,4.48,4,NA,NA
NA,NA,4.15,3.73,NA,NA
NA,NA,4.6,3.77,NA,NA
NA,NA,6.11,6.61,NA,NA
NA,NA,4.99,3.61,NA,NA
NA,NA,3.78,3.95,NA,NA
NA,NA,3.78,2.83,NA,NA
NA,NA,2.47,2.74,NA,NA
NA,NA,5.29,4.84,NA,NA
NA,NA,5.03,5.12,NA,NA
NA,NA,5.21,5.54,NA,NA
NA,NA,4.97,5.88,NA,NA
NA,NA,3.89,4.54,NA,NA
NA,NA,4.27,4.46,NA,NA
NA,NA,4.26,4.45,NA,NA
NA,NA,3.26,3.6,NA,NA
NA,NA,5.38,5.99,NA,NA
NA,NA,5.67,5.95,NA,NA
NA,NA,3.58,3.41,NA,NA
NA,NA,4.04,3.19,NA,NA
NA,NA,4.9,4.78,NA,NA
NA,NA,5.15,4.96,NA,NA
NA,NA,5.67,5.7,NA,NA
NA,NA,2.23,2.84,NA,NA
NA,NA,3.32,4.29,NA,NA
NA,NA,5.88,5.43,NA,NA
NA,NA,2.98,2.84,NA,NA
NA,NA,4.91,4.51,NA,NA
NA,NA,3.65,4.28,NA,NA
NA,NA,5.92,5.64,NA,NA
NA,NA,5.01,5.93,NA,NA
NA,NA,2.73,1.91,NA,NA
NA,NA,1.86,2.31,NA,NA
NA,NA,4.78,5.13,NA,NA
NA,NA,3.76,3.56,NA,NA
NA,NA,4.8,4.96,NA,NA
NA,NA,4.59,5.23,NA,NA
NA,NA,0,0,NA,NA
NA,NA,2.21,3.29,NA,NA
NA,NA,2.18,2.15,NA,NA
NA,NA,2.5,3.1,NA,NA
NA,NA,4.96,4.93,NA,NA
NA,NA,1.92,2.15,NA,NA
NA,NA,0.36,0.66,NA,NA
NA,NA,1.22,1.24,NA,NA
NA,NA,3.96,4.43,NA,NA
NA,NA,3.26,3.61,NA,NA
NA,NA,4.51,4.61,NA,NA
NA,NA,1.88,1.82,NA,NA
NA,NA,2.83,3.46,NA,NA
NA,NA,1.86,2.18,NA,NA
NA,NA,3.76,4.06,NA,NA
NA,NA,4.07,4.36,NA,NA
NA,NA,1.53,0.67,NA,NA
NA,NA,3.99,4.2,NA,NA
NA,NA,0,0.06,NA,NA
NA,NA,7.02,6.83,NA,NA
NA,NA,3.83,5.42,NA,NA
NA,NA,3.37,4.9,NA,NA
NA,NA,6.16,6.87,NA,NA
NA,NA,6.87,7.56,NA,NA
NA,NA,6.5,6.24,NA,NA
NA,NA,7.92,8.81,NA,NA
NA,NA,7.59,8.36,NA,NA
NA,NA,5.93,6.5,NA,NA
NA,NA,6.13,6.21,NA,NA
NA,NA,4.3,3.35,NA,NA
NA,NA,7.16,7.93,NA,NA
NA,NA,4.56,4.97,NA,NA
NA,NA,9.49,9.19,NA,NA
NA,NA,2.81,2.2,NA,NA
NA,NA,4.24,4.93,NA,NA
NA,NA,6.76,7.68,NA,NA
NA,NA,4.27,4.27,NA,NA
NA,NA,5.74,5.45,NA,NA
NA,NA,4.46,4.64,NA,NA
NA,NA,8.05,8.55,NA,NA
NA,NA,7.43,9.17,NA,NA
NA,NA,3.83,4.12,NA,NA
NA,NA,5.82,6.4,NA,NA
NA,NA,8.29,8.92,NA,NA
NA,NA,7.08,6.98,NA,NA
NA,NA,3.5,4.57,NA,NA
NA,NA,7.87,7.24,NA,NA
NA,NA,5.49,5.16,NA,NA
NA,NA,5.36,6.06,NA,NA
NA,NA,7.74,7.6,NA,NA
NA,NA,7.81,7.71,NA,NA
NA,NA,3.19,2.83,NA,NA
NA,NA,6.04,5.93,NA,NA
NA,NA,9.65,8.9,NA,NA
NA,NA,8.02,7.79,NA,NA
NA,NA,6.01,5.65,NA,NA
NA,NA,6.21,6.77,NA,NA
NA,NA,6.81,5.99,NA,NA
NA,NA,3.97,3.7,NA,NA
NA,NA,6.48,5.52,NA,NA
NA,NA,7.95,8.28,NA,NA
NA,NA,7.25,6.06,NA,NA
NA,NA,5.15,5.63,NA,NA
NA,NA,3.34,3.02,NA,NA
NA,NA,6.51,6.93,NA,NA
NA,NA,6.69,7.98,NA,NA
NA,NA,1.78,1.98,NA,NA
NA,NA,5.75,5.39,NA,NA
NA,NA,3.14,4.1,NA,NA
NA,NA,2.19,3.55,NA,NA
NA,NA,7.23,8.46,NA,NA
NA,NA,7.31,6.63,NA,NA
NA,NA,4.21,3.31,NA,NA
NA,NA,4.06,3.55,NA,NA
NA,NA,6.87,6.64,NA,NA
NA,NA,3.4,3.91,NA,NA
NA,NA,3.27,3.96,NA,NA
NA,NA,2.08,3.49,NA,NA
NA,NA,5.75,5.91,NA,NA
NA,NA,4.68,5.08,NA,NA
NA,NA,6.74,6.33,NA,NA
NA,NA,4.49,5.04,NA,NA
NA,NA,4.82,5.78,NA,NA
NA,NA,3.81,5.08,NA,NA
NA,NA,2.97,2.86,NA,NA
NA,NA,6.11,7.12,NA,NA
NA,NA,2.41,3.21,NA,NA
NA,NA,6.41,6.31,NA,NA
NA,NA,4.9,4.99,NA,NA
NA,NA,5.52,6.36,NA,NA
NA,NA,7.71,7.82,NA,NA
NA,NA,4.92,4.82,NA,NA
NA,NA,3.01,2.62,NA,NA
NA,NA,5.66,4.69,NA,NA
NA,NA,6.95,7.26,NA,NA
NA,NA,5.85,7.09,NA,NA
NA,NA,5.35,5,NA,NA
NA,NA,3.56,4.58,NA,NA
NA,NA,5.49,5.53,NA,NA
NA,NA,3.32,3.5,NA,NA
NA,NA,8,7.65,NA,NA
NA,NA,6.29,5.88,NA,NA
NA,NA,4.25,4.79,NA,NA
NA,NA,5.69,6.81,NA,NA
NA,NA,3.1,2.98,NA,NA
NA,NA,2.87,3.01,NA,NA
NA,NA,6.07,6.83,NA,NA
NA,NA,5.82,6.31,NA,NA
NA,NA,5.26,6.05,NA,NA
NA,NA,9.3,11.1,NA,NA
NA,NA,5.3,6,NA,NA
NA,NA,3.44,3,NA,NA
NA,NA,3.44,3.17,NA,NA
NA,NA,7.75,7.38,NA,NA
NA,NA,5.09,4.54,NA,NA
NA,NA,6.89,7.15,NA,NA
NA,NA,3.04,3.25,NA,NA
NA,NA,8.59,8.75,NA,NA
NA,NA,4.39,4.54,NA,NA
NA,NA,5.88,5.85,NA,NA
NA,NA,6.43,6.06,NA,NA
NA,NA,6.73,6.78,NA,NA
NA,NA,6.65,7.73,NA,NA
NA,NA,3.59,3.33,NA,NA
NA,NA,4.06,3.78,NA,NA
NA,NA,7.65,7.68,NA,NA
NA,NA,6.68,6.74,NA,NA
NA,NA,2.45,2.96,NA,NA
NA,NA,5.94,6.57,NA,NA
NA,NA,6.05,5.58,NA,NA
NA,NA,13.3,13,NA,NA
NA,NA,3.44,3.39,NA,NA
NA,NA,7.76,7.84,NA,NA
NA,NA,0.41,0.77,NA,NA
NA,NA,4.89,4.69,NA,NA
NA,NA,4.75,4.7,NA,NA
NA,NA,2.46,1.4,NA,NA
NA,NA,3.23,3.12,NA,NA
NA,NA,2.5,2.96,NA,NA
NA,NA,7.33,6.73,NA,NA
NA,NA,6.15,6.68,NA,NA
NA,NA,3.66,4.02,NA,NA
NA,NA,4.84,5.66,NA,NA
NA,NA,4.55,5.03,NA,NA
NA,NA,5.24,5.76,NA,NA
NA,NA,8.94,8.04,NA,NA
NA,NA,4.95,4.27,NA,NA
NA,NA,7.06,6.21,NA,NA
NA,NA,8.83,8.93,NA,NA
NA,NA,5.81,6.01,NA,NA
NA,NA,5.43,5.61,NA,NA
NA,NA,3.31,3.51,NA,NA
NA,NA,6.4,6.54,NA,NA
NA,NA,3.04,3.57,NA,NA
NA,NA,9.29,8.17,NA,NA
NA,NA,5.02,4.59,NA,NA
NA,NA,6.83,5.91,NA,NA
NA,NA,4.87,5.75,NA,NA
NA,NA,4.43,3.54,NA,NA
NA,NA,6.47,6.99,NA,NA
NA,NA,7.04,7.23,NA,NA
NA,NA,6.51,6.64,NA,NA
NA,NA,6.49,7.12,NA,NA
NA,NA,7.08,7.36,NA,NA
NA,NA,5.03,5.43,NA,NA
NA,NA,6.67,6.71,NA,NA
NA,NA,2.79,3.29,NA,NA
NA,NA,4.82,4.36,NA,NA
NA,NA,9.19,10.5,NA,NA
NA,NA,1.93,2.61,NA,NA
NA,NA,5.37,5.53,NA,NA
NA,NA,4.2,4.3,NA,NA
NA,NA,6.22,6.29,NA,NA
NA,NA,6.63,7.4,NA,NA
NA,NA,3.56,4.44,NA,NA
NA,NA,7.71,7.74,NA,NA
NA,NA,4.79,5.27,NA,NA
NA,NA,2.1,1.9,NA,NA
NA,NA,5.8,6.3,NA,NA
NA,NA,4.99,5.47,NA,NA
NA,NA,8.28,8.3,NA,NA
NA,NA,5.53,4.86,NA,NA
NA,NA,4.32,4.75,NA,NA
NA,NA,6.52,7.31,NA,NA
NA,NA,6.38,5.9,NA,NA
NA,NA,3.22,3.07,NA,NA
NA,NA,5.61,5.98,NA,NA
NA,NA,6.79,7.24,NA,NA
NA,NA,5.43,6.49,NA,NA
NA,NA,3.47,2.8,NA,NA
NA,NA,6.26,6.22,NA,NA
NA,NA,4.09,3.46,NA,NA
NA,NA,4.16,3.89,NA,NA
NA,NA,5.91,5.91,NA,NA
NA,NA,5.75,5.38,NA,NA
NA,NA,6.57,6.69,NA,NA
NA,NA,4.18,4.17,NA,NA
NA,NA,8.89,8.51,NA,NA
NA,NA,4.75,4.57,NA,NA
NA,NA,8.77,9.05,NA,NA
NA,NA,6.88,6.31,NA,NA
NA,NA,7.32,7.62,NA,NA
NA,NA,5.5,6.67,NA,NA
NA,NA,3.83,3.82,NA,NA
NA,NA,7.34,7.52,NA,NA
NA,NA,7.54,6.72,NA,NA
NA,NA,7.46,7.33,NA,NA
NA,NA,5.87,5.58,NA,NA
NA,NA,3.52,3.74,NA,NA
NA,NA,4.81,4.54,NA,NA
NA,NA,7.11,7.15,NA,NA
NA,NA,3.85,3.75,NA,NA
NA,NA,9.55,8.07,NA,NA
NA,NA,5.54,5.35,NA,NA
NA,NA,7.8,6.66,NA,NA
NA,NA,4.99,5.26,NA,NA
NA,NA,3.79,3.96,NA,NA
NA,NA,6.8,5.84,NA,NA
NA,NA,5.27,4.18,NA,NA
NA,NA,4.89,4,NA,NA
NA,NA,0.81,1.55,NA,NA
NA,NA,3.5,2.63,NA,NA
NA,NA,5.96,5.97,NA,NA
NA,NA,2.93,1.42,NA,NA
NA,NA,5.91,5.19,NA,NA
NA,NA,1.72,1.02,NA,NA
NA,NA,4.67,3.51,NA,NA
NA,NA,3.36,3.34,NA,NA
NA,NA,1.91,2.41,NA,NA
NA,NA,4.02,3.73,NA,NA
NA,NA,8.74,9.45,NA,NA
NA,NA,2.51,1.7,NA,NA
NA,NA,3.82,3.41,NA,NA
NA,NA,4.96,5.11,NA,NA
NA,NA,0.66,0.58,NA,NA
NA,NA,5.79,5.36,NA,NA
NA,NA,4.55,4.12,NA,NA
NA,NA,7.71,7.2,NA,NA
NA,NA,7.12,7.76,NA,NA
NA,NA,2.75,2.87,NA,NA
NA,NA,6.77,5.72,NA,NA
NA,NA,5.44,4.71,NA,NA
NA,NA,5.73,5.97,NA,NA
NA,NA,8.01,7.2,NA,NA
NA,NA,5.59,5.96,NA,NA
NA,NA,7.49,6.43,NA,NA
NA,NA,6.67,6.96,NA,NA
NA,NA,6.7,5.28,NA,NA
NA,NA,4.6,4.7,NA,NA
NA,NA,3.93,2.66,NA,NA
NA,NA,3.8,3.12,NA,NA
NA,NA,7.6,6.77,NA,NA
NA,NA,8.09,7.91,NA,NA
NA,NA,3.59,3.06,NA,NA
NA,NA,5.79,6.09,NA,NA
NA,NA,3.7,3.58,NA,NA
NA,NA,9.8,8.7,NA,NA
NA,NA,5.7,6.46,NA,NA
NA,NA,4.02,4.44,NA,NA
NA,NA,4.51,3.63,NA,NA
NA,NA,4.94,4.65,NA,NA
NA,NA,3.42,3.58,NA,NA
NA,NA,4.07,3.89,NA,NA
NA,NA,5.25,5.39,NA,NA
NA,NA,4.69,3.98,NA,NA
NA,NA,3.58,3.7,NA,NA
NA,NA,1.91,1.62,NA,NA
NA,NA,6.24,5.84,NA,NA
NA,NA,2.51,2.78,NA,NA
NA,NA,4.38,4.28,NA,NA
NA,NA,2.78,3.16,NA,NA
NA,NA,6.8,6.36,NA,NA
NA,NA,4.29,4.24,NA,NA
NA,NA,0.96,0.88,NA,NA
NA,NA,4.2,4.06,NA,NA
NA,NA,8.67,8.21,NA,NA
NA,NA,5.54,4.67,NA,NA
NA,NA,9.02,8.4,NA,NA
NA,NA,7.17,8.38,NA,NA
NA,NA,5,5.06,NA,NA
NA,NA,3.03,3.1,NA,NA
NA,NA,5.59,6.04,NA,NA
NA,NA,4.45,4.01,NA,NA
NA,NA,2.19,2.45,NA,NA
NA,NA,2.11,1.74,NA,NA
NA,NA,5.33,3.96,NA,NA
NA,NA,6.65,6.43,NA,NA
NA,NA,6.04,6.56,NA,NA
NA,NA,3.61,3.42,NA,NA
NA,NA,3.72,3.2,NA,NA
NA,NA,4.79,4.99,NA,NA
NA,NA,3.33,2.71,NA,NA
NA,NA,5.92,6.23,NA,NA
NA,NA,5.64,5.16,NA,NA
NA,NA,1.87,2.08,NA,NA
