OLPbi,OLPbt,OLPbrt,TBPbi,THObi,TBPbt,THObt,TBPbrt,THObrt,GLKbp,GLKbt,GLKbrt
NA,169,NA,NA,NA,6.09,6.15,NA,NA,NA,60.1,NA
NA,169,NA,NA,NA,5.09,4.17,NA,NA,NA,60.7,NA
NA,169,NA,NA,NA,4.67,4.29,NA,NA,NA,58,NA
NA,167,NA,NA,NA,3.19,3.57,NA,NA,NA,57.2,NA
NA,168,NA,NA,NA,4.48,4,NA,NA,NA,61,NA
NA,164,NA,NA,NA,4.15,3.73,NA,NA,NA,60.7,NA
NA,169,NA,NA,NA,4.6,3.77,NA,NA,NA,54.1,NA
NA,167,NA,NA,NA,6.11,6.61,NA,NA,NA,70.4,NA
NA,167,NA,NA,NA,4.99,3.61,NA,NA,NA,51.8,NA
NA,169,NA,NA,NA,3.78,3.95,NA,NA,NA,62.4,NA
NA,169,NA,NA,NA,3.78,2.83,NA,NA,NA,58.9,NA
NA,161,NA,NA,NA,2.47,2.74,NA,NA,NA,54,NA
NA,166,NA,NA,NA,5.29,4.84,NA,NA,NA,58.4,NA
NA,166,NA,NA,NA,5.03,5.12,NA,NA,NA,61.4,NA
NA,166,NA,NA,NA,5.21,5.54,NA,NA,NA,63.6,NA
NA,166,NA,NA,NA,4.97,5.88,NA,NA,NA,65.1,NA
NA,166,NA,NA,NA,3.89,4.54,NA,NA,NA,58.4,NA
NA,166,NA,NA,NA,4.27,4.46,NA,NA,NA,58.1,NA
NA,166,NA,NA,NA,4.26,4.45,NA,NA,NA,65.4,NA
NA,166,NA,NA,NA,3.26,3.6,NA,NA,NA,55.1,NA
NA,166,NA,NA,NA,5.38,5.99,NA,NA,NA,63,NA
NA,166,NA,NA,NA,5.67,5.95,NA,NA,NA,63,NA
NA,166,NA,NA,NA,3.58,3.41,NA,NA,NA,59,NA
NA,166,NA,NA,NA,4.04,3.19,NA,NA,NA,55.1,NA
NA,114,NA,NA,NA,4.9,4.78,NA,NA,NA,55.7,NA
NA,166,NA,NA,NA,5.15,4.96,NA,NA,NA,61.1,NA
NA,166,NA,NA,NA,5.67,5.7,NA,NA,NA,56.9,NA
NA,166,NA,NA,NA,2.23,2.84,NA,NA,NA,53.6,NA
NA,165,NA,NA,NA,3.32,4.29,NA,NA,NA,56.7,NA
NA,166,NA,NA,NA,5.88,5.43,NA,NA,NA,58.7,NA
NA,164,NA,NA,NA,2.98,2.84,NA,NA,NA,58.8,NA
NA,166,NA,NA,NA,4.91,4.51,NA,NA,NA,55.7,NA
NA,166,NA,NA,NA,3.65,4.28,NA,NA,NA,61.1,NA
NA,166,NA,NA,NA,5.92,5.64,NA,NA,NA,61.1,NA
NA,166,NA,NA,NA,5.01,5.93,NA,NA,NA,61.1,NA
NA,166,NA,NA,NA,2.73,1.91,NA,NA,NA,58.1,NA
NA,163,NA,NA,NA,1.86,2.31,NA,NA,NA,59.8,NA
NA,164,NA,NA,NA,4.78,5.13,NA,NA,NA,61.3,NA
NA,163,NA,NA,NA,3.76,3.56,NA,NA,NA,54,NA
NA,165,NA,NA,NA,4.8,4.96,NA,NA,NA,60.6,NA
NA,164,NA,NA,NA,4.59,5.23,NA,NA,NA,63.1,NA
NA,164,NA,NA,NA,0,0,NA,NA,NA,49.4,NA
NA,164,NA,NA,NA,2.21,3.29,NA,NA,NA,55.8,NA
NA,164,NA,NA,NA,2.18,2.15,NA,NA,NA,54.9,NA
NA,164,NA,NA,NA,2.5,3.1,NA,NA,NA,56.7,NA
NA,165,NA,NA,NA,4.96,4.93,NA,NA,NA,55.2,NA
NA,162,NA,NA,NA,1.92,2.15,NA,NA,NA,55.9,NA
NA,164,NA,NA,NA,0.36,0.66,NA,NA,NA,50,NA
NA,109,NA,NA,NA,1.22,1.24,NA,NA,NA,56,NA
NA,164,NA,NA,NA,3.96,4.43,NA,NA,NA,61,NA
NA,164,NA,NA,NA,3.26,3.61,NA,NA,NA,62.8,NA
NA,165,NA,NA,NA,4.51,4.61,NA,NA,NA,59.1,NA
NA,163,NA,NA,NA,1.88,1.82,NA,NA,NA,53.4,NA
NA,163,NA,NA,NA,2.83,3.46,NA,NA,NA,55.8,NA
NA,159,NA,NA,NA,1.86,2.18,NA,NA,NA,58.5,NA
NA,164,NA,NA,NA,3.76,4.06,NA,NA,NA,59.8,NA
NA,162,NA,NA,NA,4.07,4.36,NA,NA,NA,64.8,NA
NA,162,NA,NA,NA,1.53,0.67,NA,NA,NA,45.7,NA
NA,165,NA,NA,NA,3.99,4.2,NA,NA,NA,58.8,NA
NA,165,NA,NA,NA,0,0.06,NA,NA,NA,55.8,NA
NA,211,NA,NA,NA,7.02,6.83,NA,NA,NA,62.8,NA
NA,197,NA,NA,NA,3.83,5.42,NA,NA,NA,60.9,NA
NA,168,NA,NA,NA,3.37,4.9,NA,NA,NA,56.5,NA
NA,169,NA,NA,NA,6.16,6.87,NA,NA,NA,65.4,NA
NA,208,NA,NA,NA,6.87,7.56,NA,NA,NA,58.7,NA
NA,226,NA,NA,NA,6.5,6.24,NA,NA,NA,66.4,NA
NA,201,NA,NA,NA,7.92,8.81,NA,NA,NA,70.1,NA
NA,215,NA,NA,NA,7.59,8.36,NA,NA,NA,73,NA
NA,226,NA,NA,NA,5.93,6.5,NA,NA,NA,58.4,NA
NA,210,NA,NA,NA,6.13,6.21,NA,NA,NA,62.6,NA
NA,191,NA,NA,NA,4.3,3.35,NA,NA,NA,58.1,NA
NA,169,NA,NA,NA,7.16,7.93,NA,NA,NA,66,NA
NA,187,NA,NA,NA,4.56,4.97,NA,NA,NA,63.6,NA
NA,208,NA,NA,NA,9.49,9.19,NA,NA,NA,72.6,NA
NA,193,NA,NA,NA,2.81,2.2,NA,NA,NA,53.6,NA
NA,167,NA,NA,NA,4.24,4.93,NA,NA,NA,63.5,NA
NA,196,NA,NA,NA,6.76,7.68,NA,NA,NA,62.8,NA
NA,207,NA,NA,NA,4.27,4.27,NA,NA,NA,60.4,NA
NA,226,NA,NA,NA,5.74,5.45,NA,NA,NA,57.5,NA
NA,197,NA,NA,NA,4.46,4.64,NA,NA,NA,56.9,NA
NA,204,NA,NA,NA,8.05,8.55,NA,NA,NA,66.2,NA
NA,226,NA,NA,NA,7.43,9.17,NA,NA,NA,64.2,NA
NA,208,NA,NA,NA,3.83,4.12,NA,NA,NA,58.2,NA
NA,197,NA,NA,NA,5.82,6.4,NA,NA,NA,64.5,NA
NA,169,NA,NA,NA,8.29,8.92,NA,NA,NA,64.5,NA
NA,170,NA,NA,NA,7.08,6.98,NA,NA,NA,61.5,NA
NA,209,NA,NA,NA,3.5,4.57,NA,NA,NA,57.9,NA
NA,212,NA,NA,NA,7.87,7.24,NA,NA,NA,66.3,NA
NA,202,NA,NA,NA,5.49,5.16,NA,NA,NA,56.4,NA
NA,212,NA,NA,NA,5.36,6.06,NA,NA,NA,59.9,NA
NA,212,NA,NA,NA,7.74,7.6,NA,NA,NA,61.3,NA
NA,210,NA,NA,NA,7.81,7.71,NA,NA,NA,58.6,NA
NA,192,NA,NA,NA,3.19,2.83,NA,NA,NA,54.7,NA
NA,157,NA,NA,NA,6.04,5.93,NA,NA,NA,59.9,NA
NA,188,NA,NA,NA,9.65,8.9,NA,NA,NA,66,NA
NA,209,NA,NA,NA,8.02,7.79,NA,NA,NA,66,NA
NA,194,NA,NA,NA,6.01,5.65,NA,NA,NA,63.1,NA
NA,167,NA,NA,NA,6.21,6.77,NA,NA,NA,65.3,NA
NA,196,NA,NA,NA,6.81,5.99,NA,NA,NA,59.7,NA
NA,207,NA,NA,NA,3.97,3.7,NA,NA,NA,59.7,NA
NA,212,NA,NA,NA,6.48,5.52,NA,NA,NA,59.9,NA
NA,197,NA,NA,NA,7.95,8.28,NA,NA,NA,66,NA
NA,204,NA,NA,NA,7.25,6.06,NA,NA,NA,62.7,NA
NA,212,NA,NA,NA,5.15,5.63,NA,NA,NA,62.3,NA
NA,209,NA,NA,NA,3.34,3.02,NA,NA,NA,57.9,NA
NA,168,NA,NA,NA,6.51,6.93,NA,NA,NA,62.8,NA
NA,169,NA,NA,NA,6.69,7.98,NA,NA,NA,68,NA
NA,197,NA,NA,NA,1.78,1.98,NA,NA,NA,55.1,NA
NA,197,NA,NA,NA,5.75,5.39,NA,NA,NA,59.6,NA
NA,197,NA,NA,NA,3.14,4.1,NA,NA,NA,59.6,NA
NA,197,NA,NA,NA,2.19,3.55,NA,NA,NA,58.6,NA
NA,197,NA,NA,NA,7.23,8.46,NA,NA,NA,61.2,NA
NA,196,NA,NA,NA,7.31,6.63,NA,NA,NA,67.9,NA
NA,191,NA,NA,NA,4.21,3.31,NA,NA,NA,58.4,NA
NA,143,NA,NA,NA,4.06,3.55,NA,NA,NA,59.1,NA
NA,187,NA,NA,NA,6.87,6.64,NA,NA,NA,60.7,NA
NA,197,NA,NA,NA,3.4,3.91,NA,NA,NA,54.1,NA
NA,193,NA,NA,NA,3.27,3.96,NA,NA,NA,53.9,NA
NA,167,NA,NA,NA,2.08,3.49,NA,NA,NA,56,NA
NA,196,NA,NA,NA,5.75,5.91,NA,NA,NA,62,NA
NA,193,NA,NA,NA,4.68,5.08,NA,NA,NA,61.9,NA
NA,197,NA,NA,NA,6.74,6.33,NA,NA,NA,62.2,NA
NA,196,NA,NA,NA,4.49,5.04,NA,NA,NA,59.4,NA
NA,196,NA,NA,NA,4.82,5.78,NA,NA,NA,62.5,NA
NA,197,NA,NA,NA,3.81,5.08,NA,NA,NA,57.6,NA
NA,197,NA,NA,NA,2.97,2.86,NA,NA,NA,57.1,NA
NA,169,NA,NA,NA,6.11,7.12,NA,NA,NA,63.9,NA
NA,169,NA,NA,NA,2.41,3.21,NA,NA,NA,53.6,NA
NA,169,NA,NA,NA,6.41,6.31,NA,NA,NA,66.9,NA
NA,169,NA,NA,NA,4.9,4.99,NA,NA,NA,62.4,NA
NA,169,NA,NA,NA,5.52,6.36,NA,NA,NA,60.1,NA
NA,170,NA,NA,NA,7.71,7.82,NA,NA,NA,62.1,NA
NA,167,NA,NA,NA,4.92,4.82,NA,NA,NA,61.1,NA
NA,169,NA,NA,NA,3.01,2.62,NA,NA,NA,60.1,NA
NA,114,NA,NA,NA,5.66,4.69,NA,NA,NA,56.6,NA
NA,169,NA,NA,NA,6.95,7.26,NA,NA,NA,63.6,NA
NA,169,NA,NA,NA,5.85,7.09,NA,NA,NA,63,NA
NA,170,NA,NA,NA,5.35,5,NA,NA,NA,64.7,NA
NA,167,NA,NA,NA,3.56,4.58,NA,NA,NA,55.4,NA
NA,168,NA,NA,NA,5.49,5.53,NA,NA,NA,58.6,NA
NA,164,NA,NA,NA,3.32,3.5,NA,NA,NA,54.6,NA
NA,169,NA,NA,NA,8,7.65,NA,NA,NA,60.1,NA
NA,167,NA,NA,NA,6.29,5.88,NA,NA,NA,59.6,NA
NA,167,NA,NA,NA,4.25,4.79,NA,NA,NA,55.4,NA
NA,170,NA,NA,NA,5.69,6.81,NA,NA,NA,63.8,NA
NA,170,NA,NA,NA,3.1,2.98,NA,NA,NA,57.9,NA
NA,170,NA,NA,NA,2.87,3.01,NA,NA,NA,51.8,NA
NA,170,NA,NA,NA,6.07,6.83,NA,NA,NA,63.2,NA
NA,170,NA,NA,NA,5.82,6.31,NA,NA,NA,67.1,NA
NA,170,NA,NA,NA,5.26,6.05,NA,NA,NA,63.5,NA
NA,170,NA,NA,NA,9.3,11.1,NA,NA,NA,72.9,NA
NA,168,NA,NA,NA,5.3,6,NA,NA,NA,65.2,NA
NA,170,NA,NA,NA,3.44,3,NA,NA,NA,60,NA
NA,115,NA,NA,NA,3.44,3.17,NA,NA,NA,55.2,NA
NA,170,NA,NA,NA,7.75,7.38,NA,NA,NA,68.2,NA
NA,170,NA,NA,NA,5.09,4.54,NA,NA,NA,60.6,NA
NA,170,NA,NA,NA,6.89,7.15,NA,NA,NA,63.8,NA
NA,167,NA,NA,NA,3.04,3.25,NA,NA,NA,58.7,NA
NA,169,NA,NA,NA,8.59,8.75,NA,NA,NA,68.6,NA
NA,165,NA,NA,NA,4.39,4.54,NA,NA,NA,63,NA
NA,170,NA,NA,NA,5.88,5.85,NA,NA,NA,66.5,NA
NA,168,NA,NA,NA,6.43,6.06,NA,NA,NA,63.1,NA
NA,168,NA,NA,NA,6.73,6.78,NA,NA,NA,65.5,NA
NA,170,NA,NA,NA,6.65,7.73,NA,NA,NA,63.5,NA
NA,170,NA,NA,NA,3.59,3.33,NA,NA,NA,62.9,NA
NA,209,NA,NA,NA,4.06,3.78,NA,NA,NA,52.6,NA
NA,202,NA,NA,NA,7.65,7.68,NA,NA,NA,54.7,NA
NA,209,NA,NA,NA,6.68,6.74,NA,NA,NA,62,NA
NA,209,NA,NA,NA,2.45,2.96,NA,NA,NA,52.4,NA
NA,207,NA,NA,NA,5.94,6.57,NA,NA,NA,63.3,NA
NA,192,NA,NA,NA,6.05,5.58,NA,NA,NA,58.6,NA
NA,154,NA,NA,NA,13.3,13,NA,NA,NA,73.1,NA
NA,188,NA,NA,NA,3.44,3.39,NA,NA,NA,54.5,NA
NA,209,NA,NA,NA,7.76,7.84,NA,NA,NA,60.8,NA
NA,194,NA,NA,NA,0.41,0.77,NA,NA,NA,52.1,NA
NA,167,NA,NA,NA,4.89,4.69,NA,NA,NA,60.2,NA
NA,196,NA,NA,NA,4.75,4.7,NA,NA,NA,55.9,NA
NA,204,NA,NA,NA,2.46,1.4,NA,NA,NA,51.2,NA
NA,209,NA,NA,NA,3.23,3.12,NA,NA,NA,51.9,NA
NA,197,NA,NA,NA,2.5,2.96,NA,NA,NA,56.1,NA
NA,204,NA,NA,NA,7.33,6.73,NA,NA,NA,64,NA
NA,209,NA,NA,NA,6.15,6.68,NA,NA,NA,65.3,NA
NA,209,NA,NA,NA,3.66,4.02,NA,NA,NA,56.5,NA
NA,202,NA,NA,NA,4.84,5.66,NA,NA,NA,57.9,NA
NA,216,NA,NA,NA,4.55,5.03,NA,NA,NA,59.3,NA
NA,235,NA,NA,NA,5.24,5.76,NA,NA,NA,59.1,NA
NA,210,NA,NA,NA,8.94,8.04,NA,NA,NA,65.2,NA
NA,192,NA,NA,NA,4.95,4.27,NA,NA,NA,60.4,NA
NA,169,NA,NA,NA,7.06,6.21,NA,NA,NA,62.4,NA
NA,188,NA,NA,NA,8.83,8.93,NA,NA,NA,67,NA
NA,209,NA,NA,NA,5.81,6.01,NA,NA,NA,62.2,NA
NA,194,NA,NA,NA,5.43,5.61,NA,NA,NA,61.6,NA
NA,167,NA,NA,NA,3.31,3.51,NA,NA,NA,57.8,NA
NA,196,NA,NA,NA,6.4,6.54,NA,NA,NA,65.6,NA
NA,207,NA,NA,NA,3.04,3.57,NA,NA,NA,60.1,NA
NA,235,NA,NA,NA,9.29,8.17,NA,NA,NA,63.4,NA
NA,197,NA,NA,NA,5.02,4.59,NA,NA,NA,57.6,NA
NA,204,NA,NA,NA,6.83,5.91,NA,NA,NA,64.5,NA
NA,235,NA,NA,NA,4.87,5.75,NA,NA,NA,60,NA
NA,209,NA,NA,NA,4.43,3.54,NA,NA,NA,62.7,NA
NA,202,NA,NA,NA,6.47,6.99,NA,NA,NA,64.1,NA
NA,202,NA,NA,NA,7.04,7.23,NA,NA,NA,65.1,NA
NA,200,NA,NA,NA,6.51,6.64,NA,NA,NA,63,NA
NA,192,NA,NA,NA,6.49,7.12,NA,NA,NA,59.6,NA
NA,147,NA,NA,NA,7.08,7.36,NA,NA,NA,62.2,NA
NA,188,NA,NA,NA,5.03,5.43,NA,NA,NA,59.3,NA
NA,202,NA,NA,NA,6.67,6.71,NA,NA,NA,59.7,NA
NA,194,NA,NA,NA,2.79,3.29,NA,NA,NA,53.6,NA
NA,167,NA,NA,NA,4.82,4.36,NA,NA,NA,55.4,NA
NA,196,NA,NA,NA,9.19,10.5,NA,NA,NA,67.1,NA
NA,197,NA,NA,NA,1.93,2.61,NA,NA,NA,58.1,NA
NA,202,NA,NA,NA,5.37,5.53,NA,NA,NA,61.6,NA
NA,197,NA,NA,NA,4.2,4.3,NA,NA,NA,56.1,NA
NA,200,NA,NA,NA,6.22,6.29,NA,NA,NA,62.3,NA
NA,202,NA,NA,NA,6.63,7.4,NA,NA,NA,65.6,NA
NA,202,NA,NA,NA,3.56,4.44,NA,NA,NA,58.2,NA
NA,216,NA,NA,NA,7.71,7.74,NA,NA,NA,57.2,NA
NA,210,NA,NA,NA,4.79,5.27,NA,NA,NA,59,NA
NA,192,NA,NA,NA,2.1,1.9,NA,NA,NA,55.5,NA
NA,161,NA,NA,NA,5.8,6.3,NA,NA,NA,62.4,NA
NA,188,NA,NA,NA,4.99,5.47,NA,NA,NA,58.2,NA
NA,209,NA,NA,NA,8.28,8.3,NA,NA,NA,62,NA
NA,194,NA,NA,NA,5.53,4.86,NA,NA,NA,58.2,NA
NA,167,NA,NA,NA,4.32,4.75,NA,NA,NA,56.6,NA
NA,196,NA,NA,NA,6.52,7.31,NA,NA,NA,57.9,NA
NA,207,NA,NA,NA,6.38,5.9,NA,NA,NA,65,NA
NA,216,NA,NA,NA,3.22,3.07,NA,NA,NA,51.2,NA
NA,197,NA,NA,NA,5.61,5.98,NA,NA,NA,61.7,NA
NA,204,NA,NA,NA,6.79,7.24,NA,NA,NA,60.5,NA
NA,216,NA,NA,NA,5.43,6.49,NA,NA,NA,66,NA
NA,209,NA,NA,NA,3.47,2.8,NA,NA,NA,58.6,NA
NA,210,NA,NA,NA,6.26,6.22,NA,NA,NA,64.3,NA
NA,192,NA,NA,NA,4.09,3.46,NA,NA,NA,55.5,NA
NA,169,NA,NA,NA,4.16,3.89,NA,NA,NA,55.9,NA
NA,188,NA,NA,NA,5.91,5.91,NA,NA,NA,63,NA
NA,209,NA,NA,NA,5.75,5.38,NA,NA,NA,59.1,NA
NA,195,NA,NA,NA,6.57,6.69,NA,NA,NA,65.1,NA
NA,167,NA,NA,NA,4.18,4.17,NA,NA,NA,59,NA
NA,196,NA,NA,NA,8.89,8.51,NA,NA,NA,65.1,NA
NA,207,NA,NA,NA,4.75,4.57,NA,NA,NA,63,NA
NA,246,NA,NA,NA,8.77,9.05,NA,NA,NA,62.8,NA
NA,197,NA,NA,NA,6.88,6.31,NA,NA,NA,57.6,NA
NA,204,NA,NA,NA,7.32,7.62,NA,NA,NA,66.9,NA
NA,244,NA,NA,NA,5.5,6.67,NA,NA,NA,63.3,NA
NA,210,NA,NA,NA,3.83,3.82,NA,NA,NA,60.7,NA
NA,190,NA,NA,NA,7.34,7.52,NA,NA,NA,61.1,NA
NA,157,NA,NA,NA,7.54,6.72,NA,NA,NA,62.7,NA
NA,186,NA,NA,NA,7.46,7.33,NA,NA,NA,64,NA
NA,207,NA,NA,NA,5.87,5.58,NA,NA,NA,57.5,NA
NA,192,NA,NA,NA,3.52,3.74,NA,NA,NA,59.6,NA
NA,166,NA,NA,NA,4.81,4.54,NA,NA,NA,63.9,NA
NA,195,NA,NA,NA,7.11,7.15,NA,NA,NA,63.1,NA
NA,207,NA,NA,NA,3.85,3.75,NA,NA,NA,61.1,NA
NA,210,NA,NA,NA,9.55,8.07,NA,NA,NA,64.8,NA
NA,197,NA,NA,NA,5.54,5.35,NA,NA,NA,62.9,NA
NA,204,NA,NA,NA,7.8,6.66,NA,NA,NA,61.3,NA
NA,210,NA,NA,NA,4.99,5.26,NA,NA,NA,59,NA
NA,207,NA,NA,NA,3.79,3.96,NA,NA,NA,62.8,NA
NA,137,NA,NA,NA,6.8,5.84,NA,NA,NA,57.3,NA
NA,188,NA,NA,NA,5.27,4.18,NA,NA,NA,55.1,NA
NA,192,NA,NA,NA,4.89,4,NA,NA,NA,54.9,NA
NA,192,NA,NA,NA,0.81,1.55,NA,NA,NA,58.3,NA
NA,167,NA,NA,NA,3.5,2.63,NA,NA,NA,56.6,NA
NA,191,NA,NA,NA,5.96,5.97,NA,NA,NA,69.9,NA
NA,187,NA,NA,NA,2.93,1.42,NA,NA,NA,52.7,NA
NA,192,NA,NA,NA,5.91,5.19,NA,NA,NA,60.2,NA
NA,190,NA,NA,NA,1.72,1.02,NA,NA,NA,52.4,NA
NA,190,NA,NA,NA,4.67,3.51,NA,NA,NA,59.2,NA
NA,192,NA,NA,NA,3.36,3.34,NA,NA,NA,54.4,NA
NA,192,NA,NA,NA,1.91,2.41,NA,NA,NA,56,NA
NA,133,NA,NA,NA,4.02,3.73,NA,NA,NA,56.8,NA
NA,154,NA,NA,NA,8.74,9.45,NA,NA,NA,67.9,NA
NA,139,NA,NA,NA,2.51,1.7,NA,NA,NA,56.5,NA
NA,113,NA,NA,NA,3.82,3.41,NA,NA,NA,55.3,NA
NA,142,NA,NA,NA,4.96,5.11,NA,NA,NA,58.8,NA
NA,157,NA,NA,NA,0.66,0.58,NA,NA,NA,47.5,NA
NA,169,NA,NA,NA,5.79,5.36,NA,NA,NA,61.2,NA
NA,144,NA,NA,NA,4.55,4.12,NA,NA,NA,53.1,NA
NA,151,NA,NA,NA,7.71,7.2,NA,NA,NA,63.2,NA
NA,169,NA,NA,NA,7.12,7.76,NA,NA,NA,63,NA
NA,154,NA,NA,NA,2.75,2.87,NA,NA,NA,58.1,NA
NA,188,NA,NA,NA,6.77,5.72,NA,NA,NA,58.2,NA
NA,188,NA,NA,NA,5.44,4.71,NA,NA,NA,65.4,NA
NA,167,NA,NA,NA,5.73,5.97,NA,NA,NA,59.6,NA
NA,187,NA,NA,NA,8.01,7.2,NA,NA,NA,58.6,NA
NA,183,NA,NA,NA,5.59,5.96,NA,NA,NA,66.4,NA
NA,188,NA,NA,NA,7.49,6.43,NA,NA,NA,61.4,NA
NA,186,NA,NA,NA,6.67,6.96,NA,NA,NA,63.2,NA
NA,186,NA,NA,NA,6.7,5.28,NA,NA,NA,62.1,NA
NA,188,NA,NA,NA,4.6,4.7,NA,NA,NA,61.4,NA
NA,188,NA,NA,NA,3.93,2.66,NA,NA,NA,62.5,NA
NA,194,NA,NA,NA,3.8,3.12,NA,NA,NA,56.2,NA
NA,167,NA,NA,NA,7.6,6.77,NA,NA,NA,65.6,NA
NA,196,NA,NA,NA,8.09,7.91,NA,NA,NA,59.9,NA
NA,204,NA,NA,NA,3.59,3.06,NA,NA,NA,52.2,NA
NA,209,NA,NA,NA,5.79,6.09,NA,NA,NA,56.7,NA
NA,197,NA,NA,NA,3.7,3.58,NA,NA,NA,56.6,NA
NA,204,NA,NA,NA,9.8,8.7,NA,NA,NA,63,NA
NA,209,NA,NA,NA,5.7,6.46,NA,NA,NA,60.5,NA
NA,209,NA,NA,NA,4.02,4.44,NA,NA,NA,60.3,NA
NA,167,NA,NA,NA,4.51,3.63,NA,NA,NA,59.9,NA
NA,193,NA,NA,NA,4.94,4.65,NA,NA,NA,58.5,NA
NA,189,NA,NA,NA,3.42,3.58,NA,NA,NA,60.8,NA
NA,194,NA,NA,NA,4.07,3.89,NA,NA,NA,57.7,NA
NA,192,NA,NA,NA,5.25,5.39,NA,NA,NA,63.5,NA
NA,192,NA,NA,NA,4.69,3.98,NA,NA,NA,57.8,NA
NA,195,NA,NA,NA,3.58,3.7,NA,NA,NA,52.3,NA
NA,195,NA,NA,NA,1.91,1.62,NA,NA,NA,53.3,NA
NA,167,NA,NA,NA,6.24,5.84,NA,NA,NA,66.2,NA
NA,163,NA,NA,NA,2.51,2.78,NA,NA,NA,58,NA
NA,167,NA,NA,NA,4.38,4.28,NA,NA,NA,59,NA
NA,166,NA,NA,NA,2.78,3.16,NA,NA,NA,58.1,NA
NA,166,NA,NA,NA,6.8,6.36,NA,NA,NA,64.8,NA
NA,167,NA,NA,NA,4.29,4.24,NA,NA,NA,59.6,NA
NA,167,NA,NA,NA,0.96,0.88,NA,NA,NA,51.8,NA
NA,192,NA,NA,NA,4.2,4.06,NA,NA,NA,59.6,NA
NA,196,NA,NA,NA,8.67,8.21,NA,NA,NA,67.6,NA
NA,195,NA,NA,NA,5.54,4.67,NA,NA,NA,55.6,NA
NA,195,NA,NA,NA,9.02,8.4,NA,NA,NA,63.3,NA
NA,196,NA,NA,NA,7.17,8.38,NA,NA,NA,66.1,NA
NA,196,NA,NA,NA,5,5.06,NA,NA,NA,58.9,NA
NA,207,NA,NA,NA,3.03,3.1,NA,NA,NA,55.8,NA
NA,194,NA,NA,NA,5.59,6.04,NA,NA,NA,62.6,NA
NA,201,NA,NA,NA,4.45,4.01,NA,NA,NA,56,NA
NA,207,NA,NA,NA,2.19,2.45,NA,NA,NA,57.2,NA
NA,204,NA,NA,NA,2.11,1.74,NA,NA,NA,56.6,NA
NA,197,NA,NA,NA,5.33,3.96,NA,NA,NA,53,NA
NA,204,NA,NA,NA,6.65,6.43,NA,NA,NA,61.5,NA
NA,243,NA,NA,NA,6.04,6.56,NA,NA,NA,59.5,NA
NA,209,NA,NA,NA,3.61,3.42,NA,NA,NA,58.1,NA
NA,197,NA,NA,NA,3.72,3.2,NA,NA,NA,52.5,NA
NA,197,NA,NA,NA,4.79,4.99,NA,NA,NA,61.2,NA
NA,197,NA,NA,NA,3.33,2.71,NA,NA,NA,55.1,NA
NA,204,NA,NA,NA,5.92,6.23,NA,NA,NA,62.5,NA
NA,204,NA,NA,NA,5.64,5.16,NA,NA,NA,59.6,NA
NA,210,NA,NA,NA,1.87,2.08,NA,NA,NA,56.4,NA
